,Sector,Year,FDI(â‚¹ Crores),FDI(US$ Million)
369,RETAIL TRADING,2005-06,0.0,0.0
370,AGRICULTURE SERVICES,2005-06,40.2,9.08
371,"DIAMOND,GOLD ORNAMENTS",2005-06,68.71,15.52
372,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2005-06,6.33,1.43
373,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2005-06,43.83,9.9
374,COIR,2005-06,2.61,0.59
375,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2005-06,4.12,0.93
376,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2005-06,1012.5,228.71
377,MISCELLANEOUS INDUSTRIES,2005-06,729.39,164.76
378,METALLURGICAL INDUSTRIES,2006-07,768.81,169.94
379,MINING,2006-07,29.95,6.62
380,POWER,2006-07,710.95,157.15
381,NON-CONVENTIONAL ENERGY,2006-07,11.04,2.44
382,COAL PRODUCTION,2006-07,5.88,1.3
383,PETROLEUM & NATURAL GAS,2006-07,396.8,87.71
384,BOILERS AND STEAM GENERATING PLANTS,2006-07,14.97,3.31
385,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2006-07,115.68,25.57
386,ELECTRICAL EQUIPMENTS,2006-07,347.67,76.85
387,COMPUTER SOFTWARE & HARDWARE,2006-07,11822.7,2613.33
388,ELECTRONICS,2006-07,190.64,42.14
389,TELECOMMUNICATIONS,2006-07,2155.73,476.51
390,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2006-07,342.47,75.7
391,AUTOMOBILE INDUSTRY,2006-07,1179.5,260.72
392,AIR TRANSPORT (INCLUDING AIR FREIGHT),2006-07,281.8,62.29
393,SEA TRANSPORT,2006-07,328.08,72.52
394,PORTS,2006-07,0.0,0.0
395,RAILWAY RELATED COMPONENTS,2006-07,116.81,25.82
396,INDUSTRIAL MACHINERY,2006-07,117.44,25.96
397,MACHINE TOOLS,2006-07,168.65,37.28
398,AGRICULTURAL MACHINERY,2006-07,113.96,25.19
399,EARTH-MOVING MACHINERY,2006-07,4.48,0.99
400,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2006-07,382.01,84.44
401,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2006-07,24.52,5.42
402,MEDICAL AND SURGICAL APPLIANCES,2006-07,60.76,13.43
403,INDUSTRIAL INSTRUMENTS,2006-07,0.0,0.0
404,SCIENTIFIC INSTRUMENTS,2006-07,0.32,0.07
405,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2006-07,0.0,0.0
406,FERTILIZERS,2006-07,22.67,5.01
407,CHEMICALS (OTHER THAN FERTILIZERS),2006-07,628.16,138.85
408,PHOTOGRAPHIC RAW FILM AND PAPER,2006-07,12.71,2.81
409,DYE-STUFFS,2006-07,0.0,0.0
410,DRUGS & PHARMACEUTICALS,2006-07,1014.28,224.2
411,"TEXTILES (INCLUDING DYED,PRINTED)",2006-07,574.1,126.9
412,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2006-07,22.98,5.08
413,SUGAR,2006-07,44.56,9.85
414,FERMENTATION INDUSTRIES,2006-07,124.77,27.58
415,FOOD PROCESSING INDUSTRIES,2006-07,461.45,102.0
416,VEGETABLE OILS AND VANASPATI,2006-07,73.38,16.22
417,"SOAPS, COSMETICS & TOILET PREPARATIONS",2006-07,27.32,6.04
418,RUBBER GOODS,2006-07,84.82,18.75
419,"LEATHER,LEATHER GOODS AND PICKERS",2006-07,37.37,8.26
420,GLUE AND GELATIN,2006-07,0.0,0.0
421,GLASS,2006-07,6.47,1.43
422,CERAMICS,2006-07,552.97,122.23
423,CEMENT AND GYPSUM PRODUCTS,2006-07,1096.93,242.47
424,TIMBER PRODUCTS,2006-07,0.0,0.0
425,DEFENCE INDUSTRIES,2006-07,0.0,0.0
426,CONSULTANCY SERVICES,2006-07,518.81,114.68
427,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2006-07,21325.14,4713.78
428,HOSPITAL & DIAGNOSTIC CENTRES,2006-07,172.55,38.14
429,EDUCATION,2006-07,189.15,41.81
430,HOTEL & TOURISM,2006-07,885.17,195.66
431,TRADING,2006-07,518.68,114.65
432,RETAIL TRADING,2006-07,0.0,0.0
433,AGRICULTURE SERVICES,2006-07,56.69,12.53
434,"DIAMOND,GOLD ORNAMENTS",2006-07,280.35,61.97
435,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2006-07,28.05,6.2
436,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2006-07,90.66,20.04
437,COIR,2006-07,0.18,0.04
438,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2006-07,289.81,64.06
439,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2006-07,6301.71,1392.95
440,MISCELLANEOUS INDUSTRIES,2006-07,1379.23,304.87
441,METALLURGICAL INDUSTRIES,2007-08,4733.57,1175.75
442,MINING,2007-08,1788.99,444.36
443,POWER,2007-08,3980.43,988.68
444,NON-CONVENTIONAL ENERGY,2007-08,236.81,58.82
445,COAL PRODUCTION,2007-08,56.69,14.08
446,PETROLEUM & NATURAL GAS,2007-08,5656.69,1405.04
447,BOILERS AND STEAM GENERATING PLANTS,2007-08,6.08,1.51
448,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2007-08,163.17,40.53
449,ELECTRICAL EQUIPMENTS,2007-08,2631.96,653.74
450,COMPUTER SOFTWARE & HARDWARE,2007-08,5564.94,1382.25
451,ELECTRONICS,2007-08,547.66,136.03
452,TELECOMMUNICATIONS,2007-08,5075.58,1260.7
453,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2007-08,1161.46,288.49
454,AUTOMOBILE INDUSTRY,2007-08,2641.46,656.1
455,AIR TRANSPORT (INCLUDING AIR FREIGHT),2007-08,398.9,99.08
456,SEA TRANSPORT,2007-08,516.78,128.36
457,PORTS,2007-08,3696.59,918.18
458,RAILWAY RELATED COMPONENTS,2007-08,49.96,12.41
459,INDUSTRIAL MACHINERY,2007-08,481.39,119.57
460,MACHINE TOOLS,2007-08,228.96,56.87
461,AGRICULTURAL MACHINERY,2007-08,27.05,6.72
462,EARTH-MOVING MACHINERY,2007-08,273.53,67.94
463,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2007-08,850.09,211.15
464,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2007-08,39.58,9.83
465,MEDICAL AND SURGICAL APPLIANCES,2007-08,53.02,13.17
466,INDUSTRIAL INSTRUMENTS,2007-08,8.98,2.23
467,SCIENTIFIC INSTRUMENTS,2007-08,0.0,0.0
468,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2007-08,5.11,1.27
469,FERTILIZERS,2007-08,7.85,1.95
470,CHEMICALS (OTHER THAN FERTILIZERS),2007-08,940.88,233.7
471,PHOTOGRAPHIC RAW FILM AND PAPER,2007-08,220.87,54.86
472,DYE-STUFFS,2007-08,22.18,5.51
473,DRUGS & PHARMACEUTICALS,2007-08,1370.25,340.35
474,"TEXTILES (INCLUDING DYED,PRINTED)",2007-08,746.42,185.4
475,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2007-08,125.77,31.24
476,SUGAR,2007-08,40.54,10.07
477,FERMENTATION INDUSTRIES,2007-08,1087.22,270.05
478,FOOD PROCESSING INDUSTRIES,2007-08,282.5,70.17
479,VEGETABLE OILS AND VANASPATI,2007-08,6.16,1.53
480,"SOAPS, COSMETICS & TOILET PREPARATIONS",2007-08,25.69,6.38
481,RUBBER GOODS,2007-08,60.87,15.12
482,"LEATHER,LEATHER GOODS AND PICKERS",2007-08,30.03,7.46
483,GLUE AND GELATIN,2007-08,9.18,2.28
484,GLASS,2007-08,44.45,11.04
485,CERAMICS,2007-08,463.43,115.11
486,CEMENT AND GYPSUM PRODUCTS,2007-08,68.0,16.89
487,TIMBER PRODUCTS,2007-08,1.57,0.39
488,DEFENCE INDUSTRIES,2007-08,0.0,0.0
489,CONSULTANCY SERVICES,2007-08,939.35,233.32
490,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2007-08,28126.32,6986.17
491,HOSPITAL & DIAGNOSTIC CENTRES,2007-08,973.33,241.76
492,EDUCATION,2007-08,175.49,43.59
493,HOTEL & TOURISM,2007-08,1696.84,421.47
494,TRADING,2007-08,1389.05,345.02
495,RETAIL TRADING,2007-08,5.11,1.27
496,AGRICULTURE SERVICES,2007-08,234.03,58.13
497,"DIAMOND,GOLD ORNAMENTS",2007-08,238.14,59.15
498,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2007-08,76.25,18.94
499,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2007-08,143.08,35.54
500,COIR,2007-08,0.04,0.01
501,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2007-08,736.44,182.92
502,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2007-08,15650.39,3887.33
503,MISCELLANEOUS INDUSTRIES,2007-08,2127.42,528.42
504,METALLURGICAL INDUSTRIES,2008-09,4415.72,959.94
505,MINING,2008-09,157.14,34.16
506,POWER,2008-09,4175.24,907.66
507,NON-CONVENTIONAL ENERGY,2008-09,579.05,125.88
508,COAL PRODUCTION,2008-09,1.01,0.22
509,PETROLEUM & NATURAL GAS,2008-09,1606.73,349.29
510,BOILERS AND STEAM GENERATING PLANTS,2008-09,0.0,0.0
511,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2008-09,344.45,74.88
512,ELECTRICAL EQUIPMENTS,2008-09,1919.81,417.35
513,COMPUTER SOFTWARE & HARDWARE,2008-09,7099.36,1543.34
514,ELECTRONICS,2008-09,678.55,147.51
515,TELECOMMUNICATIONS,2008-09,11723.7,2548.63
516,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2008-09,3381.18,735.04
517,AUTOMOBILE INDUSTRY,2008-09,5290.14,1150.03
518,AIR TRANSPORT (INCLUDING AIR FREIGHT),2008-09,282.3,61.37
519,SEA TRANSPORT,2008-09,230.97,50.21
520,PORTS,2008-09,2268.49,493.15
521,RAILWAY RELATED COMPONENTS,2008-09,82.85,18.01
522,INDUSTRIAL MACHINERY,2008-09,508.48,110.54
523,MACHINE TOOLS,2008-09,210.04,45.66
524,AGRICULTURAL MACHINERY,2008-09,25.62,5.57
525,EARTH-MOVING MACHINERY,2008-09,10.44,2.27
526,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2008-09,654.63,142.31
527,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2008-09,58.1,12.63
528,MEDICAL AND SURGICAL APPLIANCES,2008-09,346.93,75.42
529,INDUSTRIAL INSTRUMENTS,2008-09,80.41,17.48
530,SCIENTIFIC INSTRUMENTS,2008-09,3.82,0.83
531,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2008-09,0.0,0.0
532,FERTILIZERS,2008-09,615.25,133.75
533,CHEMICALS (OTHER THAN FERTILIZERS),2008-09,2995.61,651.22
534,PHOTOGRAPHIC RAW FILM AND PAPER,2008-09,4.83,1.05
535,DYE-STUFFS,2008-09,5.38,1.17
536,DRUGS & PHARMACEUTICALS,2008-09,19535.1,4246.76
537,"TEXTILES (INCLUDING DYED,PRINTED)",2008-09,724.59,157.52
538,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2008-09,1253.55,272.51
539,SUGAR,2008-09,23.05,5.01
540,FERMENTATION INDUSTRIES,2008-09,665.62,144.7
541,FOOD PROCESSING INDUSTRIES,2008-09,472.47,102.71
542,VEGETABLE OILS AND VANASPATI,2008-09,197.25,42.88
543,"SOAPS, COSMETICS & TOILET PREPARATIONS",2008-09,101.34,22.03
544,RUBBER GOODS,2008-09,390.45,84.88
545,"LEATHER,LEATHER GOODS AND PICKERS",2008-09,15.27,3.32
546,GLUE AND GELATIN,2008-09,0.0,0.0
547,GLASS,2008-09,106.54,23.16
548,CERAMICS,2008-09,912.78,198.43
549,CEMENT AND GYPSUM PRODUCTS,2008-09,3334.08,724.8
550,TIMBER PRODUCTS,2008-09,51.84,11.27
551,DEFENCE INDUSTRIES,2008-09,0.0,0.0
552,CONSULTANCY SERVICES,2008-09,1180.31,256.59
553,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2008-09,28444.05,6183.49
554,HOSPITAL & DIAGNOSTIC CENTRES,2008-09,1102.67,239.71
555,EDUCATION,2008-09,986.79,214.52
556,HOTEL & TOURISM,2008-09,2134.03,463.92
557,TRADING,2008-09,2960.74,643.64
558,RETAIL TRADING,2008-09,0.41,0.09
559,AGRICULTURE SERVICES,2008-09,24.61,5.35
560,"DIAMOND,GOLD ORNAMENTS",2008-09,384.1,83.5
561,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2008-09,170.57,37.08
562,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2008-09,145.41,31.61
563,COIR,2008-09,0.0,0.0
564,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2008-09,794.42,172.7
565,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2008-09,21424.55,4657.51
566,MISCELLANEOUS INDUSTRIES,2008-09,7128.62,1549.7
567,METALLURGICAL INDUSTRIES,2009-10,1991.91,419.88
568,MINING,2009-10,827.35,174.4
569,POWER,2009-10,6033.37,1271.79
570,NON-CONVENTIONAL ENERGY,2009-10,2953.23,622.52
571,COAL PRODUCTION,2009-10,0.0,0.0
572,PETROLEUM & NATURAL GAS,2009-10,1259.67,265.53
573,BOILERS AND STEAM GENERATING PLANTS,2009-10,18.79,3.96
574,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2009-10,187.39,39.5
575,ELECTRICAL EQUIPMENTS,2009-10,3454.91,728.27
576,COMPUTER SOFTWARE & HARDWARE,2009-10,4136.1,871.86
577,ELECTRONICS,2009-10,247.35,52.14
578,TELECOMMUNICATIONS,2009-10,12046.25,2539.26
579,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2009-10,2328.5,490.83
580,AUTOMOBILE INDUSTRY,2009-10,5864.96,1236.29
581,AIR TRANSPORT (INCLUDING AIR FREIGHT),2009-10,112.48,23.71
582,SEA TRANSPORT,2009-10,1351.33,284.85
583,PORTS,2009-10,310.31,65.41
584,RAILWAY RELATED COMPONENTS,2009-10,163.34,34.43
585,INDUSTRIAL MACHINERY,2009-10,1621.88,341.88
586,MACHINE TOOLS,2009-10,634.89,133.83
587,AGRICULTURAL MACHINERY,2009-10,8.92,1.88
588,EARTH-MOVING MACHINERY,2009-10,74.1,15.62
589,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2009-10,709.65,149.59
590,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2009-10,374.68,78.98
591,MEDICAL AND SURGICAL APPLIANCES,2009-10,793.91,167.35
592,INDUSTRIAL INSTRUMENTS,2009-10,36.1,7.61
593,SCIENTIFIC INSTRUMENTS,2009-10,0.0,0.0
594,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2009-10,0.0,0.0
595,FERTILIZERS,2009-10,38.9,8.2
596,CHEMICALS (OTHER THAN FERTILIZERS),2009-10,1736.02,365.94
597,PHOTOGRAPHIC RAW FILM AND PAPER,2009-10,0.0,0.0
598,DYE-STUFFS,2009-10,19.07,4.02
599,DRUGS & PHARMACEUTICALS,2009-10,1010.85,213.08
600,"TEXTILES (INCLUDING DYED,PRINTED)",2009-10,712.88,150.27
601,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2009-10,77.9,16.42
602,SUGAR,2009-10,0.47,0.1
603,FERMENTATION INDUSTRIES,2009-10,531.42,112.02
604,FOOD PROCESSING INDUSTRIES,2009-10,1323.05,278.89
605,VEGETABLE OILS AND VANASPATI,2009-10,330.85,69.74
606,"SOAPS, COSMETICS & TOILET PREPARATIONS",2009-10,116.61,24.58
607,RUBBER GOODS,2009-10,114.43,24.12
608,"LEATHER,LEATHER GOODS AND PICKERS",2009-10,24.0,5.06
609,GLUE AND GELATIN,2009-10,1.28,0.27
610,GLASS,2009-10,13.43,2.83
611,CERAMICS,2009-10,34.2,7.21
612,CEMENT AND GYPSUM PRODUCTS,2009-10,160.35,33.8
613,TIMBER PRODUCTS,2009-10,31.03,6.54
614,DEFENCE INDUSTRIES,2009-10,0.0,0.0
615,CONSULTANCY SERVICES,2009-10,1619.17,341.31
616,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2009-10,19803.97,4174.53
617,HOSPITAL & DIAGNOSTIC CENTRES,2009-10,643.14,135.57
618,EDUCATION,2009-10,300.53,63.35
619,HOTEL & TOURISM,2009-10,3572.33,753.02
620,TRADING,2009-10,3500.83,737.95
621,RETAIL TRADING,2009-10,65.14,13.73
622,AGRICULTURE SERVICES,2009-10,5798.21,1222.22
623,"DIAMOND,GOLD ORNAMENTS",2009-10,147.44,31.08
624,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2009-10,38.66,8.15
625,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2009-10,334.5,70.51
626,COIR,2009-10,1.19,0.25
627,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2009-10,1539.71,324.56
628,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2009-10,25931.32,5466.13
629,MISCELLANEOUS INDUSTRIES,2009-10,5444.02,1147.56
630,METALLURGICAL INDUSTRIES,2010-11,5003.13,1098.14
631,MINING,2010-11,362.25,79.51
632,POWER,2010-11,5794.18,1271.77
633,NON-CONVENTIONAL ENERGY,2010-11,976.81,214.4
634,COAL PRODUCTION,2010-11,0.0,0.0
635,PETROLEUM & NATURAL GAS,2010-11,2535.1,556.43
636,BOILERS AND STEAM GENERATING PLANTS,2010-11,2.87,0.63
637,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2010-11,758.3,166.44
638,ELECTRICAL EQUIPMENTS,2010-11,701.17,153.9
639,COMPUTER SOFTWARE & HARDWARE,2010-11,3552.81,779.81
640,ELECTRONICS,2010-11,272.08,59.72
641,TELECOMMUNICATIONS,2010-11,7583.46,1664.5
642,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2010-11,1877.57,412.11
643,AUTOMOBILE INDUSTRY,2010-11,5920.11,1299.41
644,AIR TRANSPORT (INCLUDING AIR FREIGHT),2010-11,622.35,136.6
645,SEA TRANSPORT,2010-11,1369.12,300.51
646,PORTS,2010-11,49.75,10.92
647,RAILWAY RELATED COMPONENTS,2010-11,321.93,70.66
648,INDUSTRIAL MACHINERY,2010-11,2131.84,467.92
649,MACHINE TOOLS,2010-11,52.99,11.63
650,AGRICULTURAL MACHINERY,2010-11,2.23,0.49
651,EARTH-MOVING MACHINERY,2010-11,8.06,1.77
652,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2010-11,495.1,108.67
653,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2010-11,114.45,25.12
654,MEDICAL AND SURGICAL APPLIANCES,2010-11,146.79,32.22
655,INDUSTRIAL INSTRUMENTS,2010-11,116.09,25.48
656,SCIENTIFIC INSTRUMENTS,2010-11,11.34,2.49
657,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2010-11,0.0,0.0
658,FERTILIZERS,2010-11,82.83,18.18
659,CHEMICALS (OTHER THAN FERTILIZERS),2010-11,10726.65,2354.4
660,PHOTOGRAPHIC RAW FILM AND PAPER,2010-11,3.69,0.81
661,DYE-STUFFS,2010-11,24.47,5.37
662,DRUGS & PHARMACEUTICALS,2010-11,953.94,209.38
663,"TEXTILES (INCLUDING DYED,PRINTED)",2010-11,590.69,129.65
664,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2010-11,29.75,6.53
665,SUGAR,2010-11,0.77,0.17
666,FERMENTATION INDUSTRIES,2010-11,262.93,57.71
667,FOOD PROCESSING INDUSTRIES,2010-11,859.58,188.67
668,VEGETABLE OILS AND VANASPATI,2010-11,264.57,58.07
669,"SOAPS, COSMETICS & TOILET PREPARATIONS",2010-11,468.81,102.9
670,RUBBER GOODS,2010-11,78.41,17.21
671,"LEATHER,LEATHER GOODS AND PICKERS",2010-11,42.19,9.26
672,GLUE AND GELATIN,2010-11,0.05,0.01
673,GLASS,2010-11,34.63,7.6
674,CERAMICS,2010-11,54.67,12.0
675,CEMENT AND GYPSUM PRODUCTS,2010-11,2905.27,637.68
676,TIMBER PRODUCTS,2010-11,7.2,1.58
677,DEFENCE INDUSTRIES,2010-11,0.0,0.0
678,CONSULTANCY SERVICES,2010-11,1252.17,274.84
679,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2010-11,15016.99,3296.09
680,HOSPITAL & DIAGNOSTIC CENTRES,2010-11,1166.34,256.0
681,EDUCATION,2010-11,172.85,37.94
682,HOTEL & TOURISM,2010-11,1403.48,308.05
683,TRADING,2010-11,2269.07,498.04
684,RETAIL TRADING,2010-11,119.69,26.27
685,AGRICULTURE SERVICES,2010-11,200.01,43.9
686,"DIAMOND,GOLD ORNAMENTS",2010-11,89.25,19.59
687,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2010-11,14.21,3.12
688,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2010-11,166.89,36.63
689,COIR,2010-11,0.46,0.1
690,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2010-11,3075.62,675.07
691,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2010-11,7576.76,1663.03
692,MISCELLANEOUS INDUSTRIES,2010-11,6724.52,1475.97
693,METALLURGICAL INDUSTRIES,2011-12,8573.47,1786.14
694,MINING,2011-12,684.72,142.65
695,POWER,2011-12,7931.42,1652.38
696,NON-CONVENTIONAL ENERGY,2011-12,2170.42,452.17
697,COAL PRODUCTION,2011-12,0.0,0.0
698,PETROLEUM & NATURAL GAS,2011-12,9743.9,2029.98
699,BOILERS AND STEAM GENERATING PLANTS,2011-12,152.59,31.79
700,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2011-12,1506.0,313.75
701,ELECTRICAL EQUIPMENTS,2011-12,2718.67,566.39
702,COMPUTER SOFTWARE & HARDWARE,2011-12,3822.48,796.35
703,ELECTRONICS,2011-12,933.17,194.41
704,TELECOMMUNICATIONS,2011-12,9586.75,1997.24
705,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2011-12,3244.61,675.96
706,AUTOMOBILE INDUSTRY,2011-12,4430.35,922.99
707,AIR TRANSPORT (INCLUDING AIR FREIGHT),2011-12,149.86,31.22
708,SEA TRANSPORT,2011-12,620.93,129.36
709,PORTS,2011-12,0.0,0.0
710,RAILWAY RELATED COMPONENTS,2011-12,202.9,42.27
711,INDUSTRIAL MACHINERY,2011-12,2979.17,620.66
712,MACHINE TOOLS,2011-12,613.78,127.87
713,AGRICULTURAL MACHINERY,2011-12,13.3,2.77
714,EARTH-MOVING MACHINERY,2011-12,78.72,16.4
715,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2011-12,6217.63,1295.34
716,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2011-12,139.39,29.04
717,MEDICAL AND SURGICAL APPLIANCES,2011-12,679.73,141.61
718,INDUSTRIAL INSTRUMENTS,2011-12,19.15,3.99
719,SCIENTIFIC INSTRUMENTS,2011-12,33.98,7.08
720,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2011-12,0.0,0.0
721,FERTILIZERS,2011-12,156.48,32.6
722,CHEMICALS (OTHER THAN FERTILIZERS),2011-12,19395.41,4040.71
