,Sector,Year,FDI(â‚¹ Crores),FDI(US$ Million)
723,PHOTOGRAPHIC RAW FILM AND PAPER,2011-12,0.0,0.0
724,DYE-STUFFS,2011-12,2.78,0.58
725,DRUGS & PHARMACEUTICALS,2011-12,15514.94,3232.28
726,"TEXTILES (INCLUDING DYED,PRINTED)",2011-12,788.11,164.19
727,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2011-12,1955.28,407.35
728,SUGAR,2011-12,21.31,4.44
729,FERMENTATION INDUSTRIES,2011-12,334.56,69.7
730,FOOD PROCESSING INDUSTRIES,2011-12,817.01,170.21
731,VEGETABLE OILS AND VANASPATI,2011-12,312.1,65.02
732,"SOAPS, COSMETICS & TOILET PREPARATIONS",2011-12,1065.98,222.08
733,RUBBER GOODS,2011-12,899.38,187.37
734,"LEATHER,LEATHER GOODS AND PICKERS",2011-12,39.84,8.3
735,GLUE AND GELATIN,2011-12,28.03,5.84
736,GLASS,2011-12,154.66,32.22
737,CERAMICS,2011-12,47.38,9.87
738,CEMENT AND GYPSUM PRODUCTS,2011-12,1285.92,267.9
739,TIMBER PRODUCTS,2011-12,142.08,29.6
740,DEFENCE INDUSTRIES,2011-12,17.57,3.66
741,CONSULTANCY SERVICES,2011-12,1391.47,289.89
742,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2011-12,25036.7,5215.98
743,HOSPITAL & DIAGNOSTIC CENTRES,2011-12,1490.06,310.43
744,EDUCATION,2011-12,506.98,105.62
745,HOTEL & TOURISM,2011-12,4765.73,992.86
746,TRADING,2011-12,3511.44,731.55
747,RETAIL TRADING,2011-12,152.16,31.7
748,AGRICULTURE SERVICES,2011-12,235.3,49.02
749,"DIAMOND,GOLD ORNAMENTS",2011-12,174.24,36.3
750,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2011-12,25.54,5.32
751,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2011-12,227.47,47.39
752,COIR,2011-12,2.64,0.55
753,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2011-12,1854.14,386.28
754,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2011-12,15075.74,3140.78
755,MISCELLANEOUS INDUSTRIES,2011-12,3904.22,813.38
756,METALLURGICAL INDUSTRIES,2012-13,7977.76,1466.23
757,MINING,2012-13,314.98,57.89
758,POWER,2012-13,2914.63,535.68
759,NON-CONVENTIONAL ENERGY,2012-13,6020.58,1106.52
760,COAL PRODUCTION,2012-13,0.0,0.0
761,PETROLEUM & NATURAL GAS,2012-13,1168.73,214.8
762,BOILERS AND STEAM GENERATING PLANTS,2012-13,109.09,20.05
763,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2012-13,1004.41,184.6
764,ELECTRICAL EQUIPMENTS,2012-13,1065.73,195.87
765,COMPUTER SOFTWARE & HARDWARE,2012-13,2644.11,485.96
766,ELECTRONICS,2012-13,208.06,38.24
767,TELECOMMUNICATIONS,2012-13,1653.36,303.87
768,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2012-13,2198.38,404.04
769,AUTOMOBILE INDUSTRY,2012-13,8364.34,1537.28
770,AIR TRANSPORT (INCLUDING AIR FREIGHT),2012-13,86.46,15.89
771,SEA TRANSPORT,2012-13,351.6,64.62
772,PORTS,2012-13,0.0,0.0
773,RAILWAY RELATED COMPONENTS,2012-13,162.41,29.85
774,INDUSTRIAL MACHINERY,2012-13,2741.34,503.83
775,MACHINE TOOLS,2012-13,551.66,101.39
776,AGRICULTURAL MACHINERY,2012-13,519.13,95.41
777,EARTH-MOVING MACHINERY,2012-13,27.75,5.1
778,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2012-13,486.7,89.45
779,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2012-13,132.38,24.33
780,MEDICAL AND SURGICAL APPLIANCES,2012-13,451.71,83.02
781,INDUSTRIAL INSTRUMENTS,2012-13,3.16,0.58
782,SCIENTIFIC INSTRUMENTS,2012-13,398.72,73.28
783,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2012-13,36.51,6.71
784,FERTILIZERS,2012-13,231.51,42.55
785,CHEMICALS (OTHER THAN FERTILIZERS),2012-13,1589.64,292.16
786,PHOTOGRAPHIC RAW FILM AND PAPER,2012-13,0.0,0.0
787,DYE-STUFFS,2012-13,0.0,0.0
788,DRUGS & PHARMACEUTICALS,2012-13,6112.75,1123.46
789,"TEXTILES (INCLUDING DYED,PRINTED)",2012-13,565.27,103.89
790,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2012-13,27.69,5.09
791,SUGAR,2012-13,66.71,12.26
792,FERMENTATION INDUSTRIES,2012-13,583.33,107.21
793,FOOD PROCESSING INDUSTRIES,2012-13,2184.34,401.46
794,VEGETABLE OILS AND VANASPATI,2012-13,589.75,108.39
795,"SOAPS, COSMETICS & TOILET PREPARATIONS",2012-13,870.94,160.07
796,RUBBER GOODS,2012-13,3494.1,642.18
797,"LEATHER,LEATHER GOODS AND PICKERS",2012-13,254.09,46.7
798,GLUE AND GELATIN,2012-13,0.0,0.0
799,GLASS,2012-13,1138.04,209.16
800,CERAMICS,2012-13,23.56,4.33
801,CEMENT AND GYPSUM PRODUCTS,2012-13,67.36,12.38
802,TIMBER PRODUCTS,2012-13,158.71,29.17
803,DEFENCE INDUSTRIES,2012-13,2.23,0.41
804,CONSULTANCY SERVICES,2012-13,774.36,142.32
805,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2012-13,26296.24,4832.98
806,HOSPITAL & DIAGNOSTIC CENTRES,2012-13,1397.58,256.86
807,EDUCATION,2012-13,936.94,172.2
808,HOTEL & TOURISM,2012-13,17732.49,3259.05
809,TRADING,2012-13,3905.55,717.8
810,RETAIL TRADING,2012-13,121.39,22.31
811,AGRICULTURE SERVICES,2012-13,878.56,161.47
812,"DIAMOND,GOLD ORNAMENTS",2012-13,286.25,52.61
813,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2012-13,1.47,0.27
814,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2012-13,78.02,14.34
815,COIR,2012-13,0.82,0.15
816,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2012-13,1544.65,283.89
817,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2012-13,7250.08,1332.49
818,MISCELLANEOUS INDUSTRIES,2012-13,1248.66,229.49
819,METALLURGICAL INDUSTRIES,2013-14,3434.16,567.63
820,MINING,2013-14,77.02,12.73
821,POWER,2013-14,6449.78,1066.08
822,NON-CONVENTIONAL ENERGY,2013-14,2506.21,414.25
823,COAL PRODUCTION,2013-14,17.91,2.96
824,PETROLEUM & NATURAL GAS,2013-14,678.99,112.23
825,BOILERS AND STEAM GENERATING PLANTS,2013-14,1.03,0.17
826,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2013-14,1287.32,212.78
827,ELECTRICAL EQUIPMENTS,2013-14,812.58,134.31
828,COMPUTER SOFTWARE & HARDWARE,2013-14,6813.93,1126.27
829,ELECTRONICS,2013-14,802.11,132.58
830,TELECOMMUNICATIONS,2013-14,7907.05,1306.95
831,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2013-14,2592.55,428.52
832,AUTOMOBILE INDUSTRY,2013-14,9179.54,1517.28
833,AIR TRANSPORT (INCLUDING AIR FREIGHT),2013-14,278.0,45.95
834,SEA TRANSPORT,2013-14,123.96,20.49
835,PORTS,2013-14,1.88,0.31
836,RAILWAY RELATED COMPONENTS,2013-14,1433.43,236.93
837,INDUSTRIAL MACHINERY,2013-14,2888.15,477.38
838,MACHINE TOOLS,2013-14,390.35,64.52
839,AGRICULTURAL MACHINERY,2013-14,295.12,48.78
840,EARTH-MOVING MACHINERY,2013-14,208.36,34.44
841,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2013-14,1743.19,288.13
842,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2013-14,127.84,21.13
843,MEDICAL AND SURGICAL APPLIANCES,2013-14,1049.55,173.48
844,INDUSTRIAL INSTRUMENTS,2013-14,3.21,0.53
845,SCIENTIFIC INSTRUMENTS,2013-14,272.73,45.08
846,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2013-14,0.0,0.0
847,FERTILIZERS,2013-14,124.93,20.65
848,CHEMICALS (OTHER THAN FERTILIZERS),2013-14,4759.9,786.76
849,PHOTOGRAPHIC RAW FILM AND PAPER,2013-14,0.0,0.0
850,DYE-STUFFS,2013-14,0.0,0.0
851,DRUGS & PHARMACEUTICALS,2013-14,7740.01,1279.34
852,"TEXTILES (INCLUDING DYED,PRINTED)",2013-14,1203.1,198.86
853,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2013-14,162.5,26.86
854,SUGAR,2013-14,18.63,3.08
855,FERMENTATION INDUSTRIES,2013-14,4928.21,814.58
856,FOOD PROCESSING INDUSTRIES,2013-14,24096.48,3982.89
857,VEGETABLE OILS AND VANASPATI,2013-14,130.38,21.55
858,"SOAPS, COSMETICS & TOILET PREPARATIONS",2013-14,656.06,108.44
859,RUBBER GOODS,2013-14,2241.77,370.54
860,"LEATHER,LEATHER GOODS AND PICKERS",2013-14,37.15,6.14
861,GLUE AND GELATIN,2013-14,5.87,0.97
862,GLASS,2013-14,260.69,43.09
863,CERAMICS,2013-14,908.04,150.09
864,CEMENT AND GYPSUM PRODUCTS,2013-14,1536.76,254.01
865,TIMBER PRODUCTS,2013-14,37.27,6.16
866,DEFENCE INDUSTRIES,2013-14,4.96,0.82
867,CONSULTANCY SERVICES,2013-14,1729.39,285.85
868,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2013-14,13461.86,2225.1
869,HOSPITAL & DIAGNOSTIC CENTRES,2013-14,4141.71,684.58
870,EDUCATION,2013-14,1585.64,262.09
871,HOTEL & TOURISM,2013-14,2942.6,486.38
872,TRADING,2013-14,8127.51,1343.39
873,RETAIL TRADING,2013-14,68.37,11.3
874,AGRICULTURE SERVICES,2013-14,550.61,91.01
875,"DIAMOND,GOLD ORNAMENTS",2013-14,257.49,42.56
876,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2013-14,35.45,5.86
877,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2013-14,688.37,113.78
878,COIR,2013-14,3.27,0.54
879,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2013-14,2936.49,485.37
880,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2013-14,7417.6,1226.05
881,MISCELLANEOUS INDUSTRIES,2013-14,2835.88,468.74
882,METALLURGICAL INDUSTRIES,2014-15,2197.0,359.34
883,MINING,2014-15,4184.36,684.39
884,POWER,2014-15,4322.84,707.04
885,NON-CONVENTIONAL ENERGY,2014-15,3765.92,615.95
886,COAL PRODUCTION,2014-15,0.0,0.0
887,PETROLEUM & NATURAL GAS,2014-15,6597.13,1079.02
888,BOILERS AND STEAM GENERATING PLANTS,2014-15,8.13,1.33
889,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2014-15,1410.5,230.7
890,ELECTRICAL EQUIPMENTS,2014-15,3514.51,574.83
891,COMPUTER SOFTWARE & HARDWARE,2014-15,14037.99,2296.04
892,ELECTRONICS,2014-15,592.08,96.84
893,TELECOMMUNICATIONS,2014-15,17699.66,2894.94
894,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2014-15,1558.83,254.96
895,AUTOMOBILE INDUSTRY,2014-15,16664.56,2725.64
896,AIR TRANSPORT (INCLUDING AIR FREIGHT),2014-15,455.86,74.56
897,SEA TRANSPORT,2014-15,2037.31,333.22
898,PORTS,2014-15,11.62,1.9
899,RAILWAY RELATED COMPONENTS,2014-15,793.17,129.73
900,INDUSTRIAL MACHINERY,2014-15,4382.45,716.79
901,MACHINE TOOLS,2014-15,147.1,24.06
902,AGRICULTURAL MACHINERY,2014-15,442.35,72.35
903,EARTH-MOVING MACHINERY,2014-15,184.09,30.11
904,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2014-15,1141.42,186.69
905,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2014-15,204.15,33.39
906,MEDICAL AND SURGICAL APPLIANCES,2014-15,892.22,145.93
907,INDUSTRIAL INSTRUMENTS,2014-15,5.2,0.85
908,SCIENTIFIC INSTRUMENTS,2014-15,197.73,32.34
909,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2014-15,0.0,0.0
910,FERTILIZERS,2014-15,1377.61,225.32
911,CHEMICALS (OTHER THAN FERTILIZERS),2014-15,4663.51,762.76
912,PHOTOGRAPHIC RAW FILM AND PAPER,2014-15,4.59,0.75
913,DYE-STUFFS,2014-15,335.6,54.89
914,DRUGS & PHARMACEUTICALS,2014-15,9157.18,1497.74
915,"TEXTILES (INCLUDING DYED,PRINTED)",2014-15,1207.03,197.42
916,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2014-15,710.51,116.21
917,SUGAR,2014-15,169.79,27.77
918,FERMENTATION INDUSTRIES,2014-15,1377.97,225.38
919,FOOD PROCESSING INDUSTRIES,2014-15,3153.97,515.86
920,VEGETABLE OILS AND VANASPATI,2014-15,906.95,148.34
921,"SOAPS, COSMETICS & TOILET PREPARATIONS",2014-15,1083.52,177.22
922,RUBBER GOODS,2014-15,1739.49,284.51
923,"LEATHER,LEATHER GOODS AND PICKERS",2014-15,209.16,34.21
924,GLUE AND GELATIN,2014-15,131.08,21.44
925,GLASS,2014-15,255.69,41.82
926,CERAMICS,2014-15,215.76,35.29
927,CEMENT AND GYPSUM PRODUCTS,2014-15,1277.76,208.99
928,TIMBER PRODUCTS,2014-15,54.84,8.97
929,DEFENCE INDUSTRIES,2014-15,0.49,0.08
930,CONSULTANCY SERVICES,2014-15,2801.01,458.13
931,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2014-15,27166.09,4443.26
932,HOSPITAL & DIAGNOSTIC CENTRES,2014-15,3471.83,567.85
933,EDUCATION,2014-15,482.15,78.86
934,HOTEL & TOURISM,2014-15,4750.64,777.01
935,TRADING,2014-15,16678.75,2727.96
936,RETAIL TRADING,2014-15,1031.55,168.72
937,AGRICULTURE SERVICES,2014-15,366.53,59.95
938,"DIAMOND,GOLD ORNAMENTS",2014-15,1713.02,280.18
939,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2014-15,8.74,1.43
940,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2014-15,443.75,72.58
941,COIR,2014-15,8.32,1.36
942,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2014-15,5320.71,870.25
943,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2014-15,4702.52,769.14
944,MISCELLANEOUS INDUSTRIES,2014-15,4682.59,765.88
945,METALLURGICAL INDUSTRIES,2015-16,2987.01,456.31
946,MINING,2015-16,3408.31,520.67
947,POWER,2015-16,5687.16,868.8
948,NON-CONVENTIONAL ENERGY,2015-16,5083.03,776.51
949,COAL PRODUCTION,2015-16,0.0,0.0
950,PETROLEUM & NATURAL GAS,2015-16,674.37,103.02
951,BOILERS AND STEAM GENERATING PLANTS,2015-16,510.0,77.91
952,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2015-16,1041.66,159.13
953,ELECTRICAL EQUIPMENTS,2015-16,2912.18,444.88
954,COMPUTER SOFTWARE & HARDWARE,2015-16,38649.94,5904.36
955,ELECTRONICS,2015-16,1364.12,208.39
956,TELECOMMUNICATIONS,2015-16,8669.52,1324.4
957,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2015-16,6607.14,1009.34
958,AUTOMOBILE INDUSTRY,2015-16,16540.56,2526.82
959,AIR TRANSPORT (INCLUDING AIR FREIGHT),2015-16,2364.74,361.25
960,SEA TRANSPORT,2015-16,2810.2,429.3
961,PORTS,2015-16,0.0,0.0
962,RAILWAY RELATED COMPONENTS,2015-16,484.34,73.99
963,INDUSTRIAL MACHINERY,2015-16,3719.83,568.26
964,MACHINE TOOLS,2015-16,827.28,126.38
965,AGRICULTURAL MACHINERY,2015-16,107.62,16.44
966,EARTH-MOVING MACHINERY,2015-16,639.28,97.66
967,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2015-16,1797.34,274.57
968,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2015-16,240.11,36.68
969,MEDICAL AND SURGICAL APPLIANCES,2015-16,1134.16,173.26
970,INDUSTRIAL INSTRUMENTS,2015-16,48.57,7.42
971,SCIENTIFIC INSTRUMENTS,2015-16,41.63,6.36
972,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2015-16,0.0,0.0
973,FERTILIZERS,2015-16,137.01,20.93
974,CHEMICALS (OTHER THAN FERTILIZERS),2015-16,9622.29,1469.95
975,PHOTOGRAPHIC RAW FILM AND PAPER,2015-16,0.0,0.0
976,DYE-STUFFS,2015-16,21.73,3.32
977,DRUGS & PHARMACEUTICALS,2015-16,4937.39,754.26
978,"TEXTILES (INCLUDING DYED,PRINTED)",2015-16,1506.43,230.13
979,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2015-16,557.78,85.21
980,SUGAR,2015-16,692.89,105.85
981,FERMENTATION INDUSTRIES,2015-16,1324.65,202.36
982,FOOD PROCESSING INDUSTRIES,2015-16,3311.49,505.88
983,VEGETABLE OILS AND VANASPATI,2015-16,224.0,34.22
984,"SOAPS, COSMETICS & TOILET PREPARATIONS",2015-16,1265.08,193.26
985,RUBBER GOODS,2015-16,1938.6,296.15
986,"LEATHER,LEATHER GOODS AND PICKERS",2015-16,112.13,17.13
987,GLUE AND GELATIN,2015-16,5.37,0.82
988,GLASS,2015-16,168.76,25.78
989,CERAMICS,2015-16,335.22,51.21
990,CEMENT AND GYPSUM PRODUCTS,2015-16,128.89,19.69
991,TIMBER PRODUCTS,2015-16,348.05,53.17
992,DEFENCE INDUSTRIES,2015-16,0.65,0.1
993,CONSULTANCY SERVICES,2015-16,3387.36,517.47
994,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2015-16,45098.41,6889.46
995,HOSPITAL & DIAGNOSTIC CENTRES,2015-16,4859.42,742.35
996,EDUCATION,2015-16,1510.69,230.78
997,HOTEL & TOURISM,2015-16,8723.79,1332.69
998,TRADING,2015-16,25171.46,3845.32
999,RETAIL TRADING,2015-16,1716.62,262.24
1000,AGRICULTURE SERVICES,2015-16,554.12,84.65
1001,"DIAMOND,GOLD ORNAMENTS",2015-16,383.2,58.54
1002,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2015-16,7.33,1.12
1003,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2015-16,803.91,122.81
1004,COIR,2015-16,0.0,0.0
1005,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2015-16,29527.11,4510.71
1006,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2015-16,736.75,112.55
1007,MISCELLANEOUS INDUSTRIES,2015-16,4377.77,668.77
1008,METALLURGICAL INDUSTRIES,2016-17,9663.61,1440.18
1009,MINING,2016-17,374.08,55.75
1010,POWER,2016-17,7468.1,1112.98
1011,NON-CONVENTIONAL ENERGY,2016-17,5257.75,783.57
1012,COAL PRODUCTION,2016-17,0.0,0.0
1013,PETROLEUM & NATURAL GAS,2016-17,1210.48,180.4
1014,BOILERS AND STEAM GENERATING PLANTS,2016-17,361.74,53.91
1015,PRIME MOVER (OTHER THAN ELECTRICAL GENERATORS),2016-17,1924.96,286.88
1016,ELECTRICAL EQUIPMENTS,2016-17,14967.93,2230.69
1017,COMPUTER SOFTWARE & HARDWARE,2016-17,24502.97,3651.71
1018,ELECTRONICS,2016-17,563.44,83.97
1019,TELECOMMUNICATIONS,2016-17,37332.36,5563.69
1020,INFORMATION & BROADCASTING (INCLUDING PRINT MEDIA),2016-17,10176.92,1516.68
1021,AUTOMOBILE INDUSTRY,2016-17,10798.54,1609.32
1022,AIR TRANSPORT (INCLUDING AIR FREIGHT),2016-17,559.61,83.4
1023,SEA TRANSPORT,2016-17,4932.25,735.06
1024,PORTS,2016-17,0.0,0.0
1025,RAILWAY RELATED COMPONENTS,2016-17,587.59,87.57
1026,INDUSTRIAL MACHINERY,2016-17,2209.6,329.3
1027,MACHINE TOOLS,2016-17,160.3,23.89
1028,AGRICULTURAL MACHINERY,2016-17,101.92,15.19
1029,EARTH-MOVING MACHINERY,2016-17,350.46,52.23
1030,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2016-17,1645.56,245.24
1031,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2016-17,49.92,7.44
1032,MEDICAL AND SURGICAL APPLIANCES,2016-17,3218.85,479.71
1033,INDUSTRIAL INSTRUMENTS,2016-17,5.37,0.8
1034,SCIENTIFIC INSTRUMENTS,2016-17,514.39,76.66
1035,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2016-17,0.0,0.0
1036,FERTILIZERS,2016-17,5.97,0.89
1037,CHEMICALS (OTHER THAN FERTILIZERS),2016-17,9345.69,1392.8
1038,PHOTOGRAPHIC RAW FILM AND PAPER,2016-17,0.0,0.0
1039,DYE-STUFFS,2016-17,71.8,10.7
1040,DRUGS & PHARMACEUTICALS,2016-17,5753.09,857.39
1041,"TEXTILES (INCLUDING DYED,PRINTED)",2016-17,4153.15,618.95
1042,PAPER AND PULP (INCLUDING PAPER PRODUCTS),2016-17,1325.96,197.61
1043,SUGAR,2016-17,106.82,15.92
1044,FERMENTATION INDUSTRIES,2016-17,743.87,110.86
1045,FOOD PROCESSING INDUSTRIES,2016-17,4879.65,727.22
1046,VEGETABLE OILS AND VANASPATI,2016-17,727.7,108.45
1047,"SOAPS, COSMETICS & TOILET PREPARATIONS",2016-17,621.35,92.6
1048,RUBBER GOODS,2016-17,1763.12,262.76
1049,"LEATHER,LEATHER GOODS AND PICKERS",2016-17,15.43,2.3
1050,GLUE AND GELATIN,2016-17,607.93,90.6
1051,GLASS,2016-17,346.84,51.69
1052,CERAMICS,2016-17,103.33,15.4
1053,CEMENT AND GYPSUM PRODUCTS,2016-17,14292.97,2130.1
1054,TIMBER PRODUCTS,2016-17,68.64,10.23
1055,DEFENCE INDUSTRIES,2016-17,0.0,0.0
1056,CONSULTANCY SERVICES,2016-17,1752.25,261.14
1057,"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2016-17,58270.11,8684.07
1058,HOSPITAL & DIAGNOSTIC CENTRES,2016-17,5014.92,747.38
1059,EDUCATION,2016-17,1074.41,160.12
1060,HOTEL & TOURISM,2016-17,6147.23,916.13
1061,TRADING,2016-17,15690.66,2338.4
1062,RETAIL TRADING,2016-17,3025.81,450.94
1063,AGRICULTURE SERVICES,2016-17,512.85,76.43
1064,"DIAMOND,GOLD ORNAMENTS",2016-17,831.5,123.92
1065,TEA AND COFFEE (PROCESSING & WAREHOUSING COFFEE & RUBBER),2016-17,10.74,1.6
1066,PRINTING OF BOOKS (INCLUDING LITHO PRINTING INDUSTRY),2016-17,356.77,53.17
1067,COIR,2016-17,0.0,0.0
1068,CONSTRUCTION (INFRASTRUCTURE) ACTIVITIES,2016-17,12485.5,1860.73
1069,"CONSTRUCTION DEVELOPMENT: Townships, housing, built-up infrastructure and construction-development projects",2016-17,705.49,105.14
1070,MISCELLANEOUS INDUSTRIES,2016-17,1988.84,296.4
